categories,description,price
"Jelly Pudding & Custard","PnP Mango Jelly 80g","R
                4
                
                    99"
"Canned Fish","Pick N Pay Port Sardine In WAter 120 Gr","R
                19
                
                    99"
"Fresh Fruit Juice","PnP Fruit Nectar Blend 2 Litre","R
                27
                
                    59"
"Frozen Poultry","No Name Frozen Chicken Livers 250 GR","R
                7
                
                    29"
"Fresh Fruit Juice","PnP Nectar Fruit Blend 500ml","R
                10
                
                    99"
"Carbonated Fruit Juice","Appletiser 100% Sparkling Juice 330ml","R
                12
                
                    99"
"Fresh Fruit Juice","PnP 100% Redgape Juice 1.5 Litre","R
                21
                
                    00"
"Concentrated Fruit Juice","PnP Concentrate Ice Tea Apple 1 Litre","R
                28
                
                    49"
"Baking Ingredients","Snowflake Cake Flour 2.5kg x8","R
                224
                
                    99"
"Fruit","PnP Oranges Bag 2.5kg","R
                20
                
                    95"
"Sugar & Sweeteners","PnP Icing Sugar 1 Kg","R
                31
                
                    99"
"Dried Vegetables","PnP Roasted Seeds And Onion 120g","R
                22
                
                    49"
"Canned Fish","PnP Finest Pink Salmon BonelessAnd Skinl...","R
                28
                
                    99"
"Powdered Drinks","Amila Mango And Apricot Drink 45g","R
                4
                
                    39"
"Fruit","PnP Lemons 4ea","R
                29
                
                    95"
"Long Life Fruit Juice","PnP 100% Pomeganate Juice 3 Litre","R
                49
                
                    99"
"Deli Meats","Deli Pnp American Hotdog x8","R
                194
                
                    64"
"Canned Fish","Lucky Star Pilchards In Tomato Sauce 215...","R
                13
                
                    99"
"Prepacked Meats","Enterprise Bits O Bacon 200g","R
                28
                
                    99"
"Mineral Water","Bonaqua Premium Still Water500 ML","R
                5
                
                    69"
"Mineral Water","Glaceau Vitman Flavoured WatEr Xxx 500ml","R
                15
                
                    29"
"Fresh Desserts","Clover Chocolate Truffle 160g","R
                32
                
                    99"
"Eggs","PnP Large Free Range Eggs 6","R
                17
                
                    59"
"Maize","Ace Braaipap 2.5kg","R
                26
                
                    99"
"Pizza","Pnp Spinach & Feta Pizza 475g","R
                47
                
                    00"
